sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD	fract_vit_sites_IBD
PH0047-Cx	PH0051-Cx	809	0.8999	-1.99164e+03	5	191.945	4	0.00271	0.04365	0.00749
PH0047-Cx	PH0055-C	887	0.9154	-2.17671e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PH0057-C	837	0.9152	-2.04333e+03	5	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PH0059-C	870	0.8839	-2.14827e+03	5	9.866	2	0.08338	0.06687	0.07089
PH0047-Cx	PH0060-C	832	0.8630	-2.11081e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PH0064-C	800	0.8775	-2.08675e+03	5	0.006	0	0.00000	0.00000	0.00000
PH0047-Cx	PH0163-C	826	0.8995	-1.97797e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PH0167-C	818	0.9022	-1.96017e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PH0171-C	848	0.8915	-2.12046e+03	5	131.126	2	0.00850	0.01027	0.00711
PH0051-Cx	PH0055-C	807	0.9058	-1.96177e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PH0057-C	547	0.5119	-1.30758e+03	3	1.372	1	0.64382	0.63254	0.63162
PH0051-Cx	PH0059-C	810	0.9062	-1.96265e+03	5	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PH0060-C	798	0.9085	-1.90641e+03	5	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PH0064-C	752	0.8976	-1.88237e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PH0163-C	762	0.9173	-1.75632e+03	5	27.695	2	0.05978	0.08406	0.06224
PH0051-Cx	PH0167-C	754	0.9178	-1.74054e+03	5	27.731	2	0.05978	0.08407	0.06224
PH0051-Cx	PH0171-C	795	0.9170	-1.91567e+03	5	164.894	4	0.00988	0.02871	0.01674
PH0055-C	PH0057-C	834	0.9089	-2.02991e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PH0059-C	840	0.8452	-2.12244e+03	5	31.698	2	0.03251	0.04103	0.04170
PH0055-C	PH0060-C	809	0.8492	-2.08331e+03	5	324.594	2	0.00641	0.01839	0.00837
PH0055-C	PH0064-C	805	0.8758	-2.07523e+03	5	151.880	2	0.00969	0.01621	0.01085
PH0055-C	PH0163-C	860	0.9477	-1.96089e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PH0167-C	855	0.9474	-1.94986e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PH0171-C	794	0.8413	-2.07728e+03	5	37.601	4	0.06960	0.08930	0.05839
PH0057-C	PH0059-C	828	0.8961	-2.03677e+03	5	77.990	0	0.00000	0.04346	0.00000
PH0057-C	PH0060-C	816	0.9081	-1.95841e+03	4	0.001	0	0.00000	0.00000	0.00000
PH0057-C	PH0064-C	794	0.9232	-1.95234e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0057-C	PH0163-C	781	0.9155	-1.82303e+03	5	26.199	2	0.05978	0.08098	0.06224
PH0057-C	PH0167-C	772	0.9158	-1.80463e+03	5	26.222	2	0.05978	0.08097	0.06224
PH0057-C	PH0171-C	823	0.9271	-1.97331e+03	5	179.163	4	0.00988	0.02493	0.01674
PH0059-C	PH0060-C	841	0.8787	-2.09363e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0059-C	PH0064-C	831	0.8953	-2.09279e+03	5	0.000	0	0.00000	0.00000	0.00000
PH0059-C	PH0163-C	854	0.9356	-1.96254e+03	5	85.061	2	0.00937	0.02049	0.01217
PH0059-C	PH0167-C	845	0.9396	-1.94194e+03	5	85.134	2	0.00937	0.02034	0.01217
PH0059-C	PH0171-C	810	0.8494	-2.09436e+03	5	161.798	0	0.00000	0.02162	0.00000
PH0060-C	PH0064-C	779	0.8678	-1.99630e+03	5	265.297	4	0.00601	0.02769	0.01531
PH0060-C	PH0163-C	820	0.9134	-1.90202e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0060-C	PH0167-C	817	0.9131	-1.89464e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0060-C	PH0171-C	796	0.8643	-2.02614e+03	5	477.435	2	0.00154	0.01748	0.00457
PH0064-C	PH0163-C	799	0.9274	-1.88539e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0064-C	PH0167-C	792	0.9268	-1.87331e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0064-C	PH0171-C	756	0.8598	-1.97836e+03	5	208.262	2	0.00404	0.04057	0.00969
PH0163-C	PH0167-C	423	0.0024	-8.87125e+02	3	0.000	0	1.00000	1.00000	1.00000
PH0163-C	PH0171-C	809	0.9271	-1.89185e+03	3	0.001	0	0.00000	0.00000	0.00000
PH0167-C	PH0171-C	801	0.9288	-1.87621e+03	3	0.001	0	0.00000	0.00000	0.00000
