sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD	fract_vit_sites_IBD
PH0047-Cx	PH0055-C	861	0.9431	-1.98738e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PH0057-C	842	0.9097	-1.99463e+03	5	81.296	0	0.00000	0.01551	0.00000
PH0047-Cx	PH0060-C	804	0.8930	-1.90797e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PH0064-C	780	0.9000	-1.89793e+03	5	113.285	0	0.00000	0.01286	0.00000
PH0047-Cx	PH0163-C	836	0.8888	-2.01613e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PH0171-C	818	0.9242	-1.93435e+03	5	36.140	0	0.00000	0.00000	0.00000
PH0055-C	PH0057-C	831	0.9122	-1.97861e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PH0060-C	778	0.8830	-1.88036e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PH0064-C	772	0.9132	-1.87918e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PH0163-C	858	0.9499	-1.98988e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PH0171-C	763	0.8755	-1.89659e+03	5	33.395	4	0.06857	0.08062	0.05795
PH0057-C	PH0060-C	816	0.9081	-1.89424e+03	5	0.000	0	0.00000	0.00000	0.00000
PH0057-C	PH0064-C	793	0.9243	-1.89306e+03	5	0.105	0	0.00000	0.00000	0.00000
PH0057-C	PH0163-C	816	0.8762	-1.98677e+03	5	42.619	4	0.06588	0.10140	0.07221
PH0057-C	PH0171-C	820	0.9305	-1.92211e+03	5	163.103	4	0.01196	0.02498	0.01851
PH0060-C	PH0064-C	753	0.8977	-1.79867e+03	5	272.096	4	0.00601	0.02321	0.01531
PH0060-C	PH0163-C	822	0.9112	-1.92209e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0060-C	PH0171-C	768	0.8958	-1.82649e+03	5	501.565	2	0.00154	0.01229	0.00457
PH0064-C	PH0163-C	799	0.9274	-1.90907e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0064-C	PH0171-C	729	0.8916	-1.79507e+03	5	222.068	2	0.00404	0.02857	0.00969
PH0163-C	PH0171-C	813	0.9225	-1.92816e+03	3	0.000	0	0.00000	0.00000	0.00000
