sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD	fract_vit_sites_IBD
PH0047-Cx	PH0051-Cx	809	0.8999	-1.99164e+03	5	191.945	4	0.00271	0.04365	0.00749
PH0047-Cx	PH0057-C	837	0.9152	-2.04333e+03	5	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PH0060-C	832	0.8630	-2.11081e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PH0163-C	826	0.8995	-1.97797e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PH0171-C	848	0.8915	-2.12046e+03	5	131.126	2	0.00850	0.01027	0.00711
PH0051-Cx	PH0055-C	807	0.9058	-1.96177e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PH0059-C	810	0.9062	-1.96265e+03	5	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PH0064-C	752	0.8976	-1.88237e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PH0167-C	754	0.9178	-1.74054e+03	5	27.731	2	0.05978	0.08407	0.06224
PH0055-C	PH0057-C	834	0.9089	-2.02991e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PH0060-C	809	0.8492	-2.08331e+03	5	324.594	2	0.00641	0.01839	0.00837
PH0055-C	PH0163-C	860	0.9477	-1.96089e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PH0171-C	794	0.8413	-2.07728e+03	5	37.601	4	0.06960	0.08930	0.05839
PH0057-C	PH0059-C	828	0.8961	-2.03677e+03	5	77.990	0	0.00000	0.04346	0.00000
PH0057-C	PH0064-C	794	0.9232	-1.95234e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0057-C	PH0167-C	772	0.9158	-1.80463e+03	5	26.222	2	0.05978	0.08097	0.06224
PH0059-C	PH0060-C	841	0.8787	-2.09363e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0059-C	PH0163-C	854	0.9356	-1.96254e+03	5	85.061	2	0.00937	0.02049	0.01217
PH0059-C	PH0171-C	810	0.8494	-2.09436e+03	5	161.798	0	0.00000	0.02162	0.00000
PH0060-C	PH0064-C	779	0.8678	-1.99630e+03	5	265.297	4	0.00601	0.02769	0.01531
PH0060-C	PH0167-C	817	0.9131	-1.89464e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0064-C	PH0163-C	799	0.9274	-1.88539e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0064-C	PH0171-C	756	0.8598	-1.97836e+03	5	208.262	2	0.00404	0.04057	0.00969
PH0163-C	PH0167-C	423	0.0024	-8.87125e+02	3	0.000	0	1.00000	1.00000	1.00000
PH0167-C	PH0171-C	801	0.9288	-1.87621e+03	3	0.001	0	0.00000	0.00000	0.00000
