sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD	fract_vit_sites_IBD
PH0047-Cx	PF0008-C	989	0.9292	-2.11351e+03	5	389.316	8	0.00771	0.02386	0.01493
PH0047-Cx	PF0011-C	938	0.9328	-2.04940e+03	5	0.017	0	0.00000	0.00000	0.00000
PH0047-Cx	PF0020-C	1015	0.9291	-2.10504e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PF0022-C	992	0.9294	-2.14975e+03	5	267.062	2	0.00302	0.01570	0.00705
PH0047-Cx	PF0025-C	919	0.9402	-2.03243e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PF0028-C	921	0.9446	-1.97808e+03	5	190.323	0	0.00000	0.00040	0.00000
PH0047-Cx	PF0031-C	964	0.9295	-2.05289e+03	5	536.721	4	0.00174	0.01435	0.00534
PH0047-Cx	PF0032-C	716	0.9483	-1.52062e+03	2	0.618	0	0.00000	0.00000	0.00000
PH0047-Cx	PF0035-C	1043	0.9511	-2.16615e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PF0037-C	1037	0.9315	-2.16594e+03	5	0.005	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0008-C	1027	0.9611	-1.88249e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0011-C	954	0.9319	-1.84511e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0020-C	1058	0.9603	-1.88641e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0022-C	1036	0.9517	-1.92886e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0025-C	952	0.9496	-1.84055e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0028-C	926	0.9438	-1.76277e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0031-C	992	0.9415	-1.85288e+03	5	0.011	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0032-C	728	0.9533	-1.35363e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0035-C	1058	0.9537	-1.93474e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0037-C	1049	0.9333	-1.93817e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0008-C	1022	0.9393	-2.07276e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0011-C	967	0.9431	-2.01675e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0020-C	1056	0.9470	-2.07901e+03	2	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0022-C	1043	0.9521	-2.11972e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0025-C	929	0.9268	-2.02500e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0028-C	946	0.9482	-1.95403e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0031-C	1002	0.9371	-2.04287e+03	2	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0032-C	755	0.9563	-1.51646e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0035-C	1026	0.9259	-2.10873e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0037-C	1051	0.9324	-2.11971e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0057-C	PF0008-C	1005	0.9393	-1.94803e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0057-C	PF0011-C	961	0.9438	-1.89370e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0057-C	PF0020-C	1050	0.9543	-1.93915e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0057-C	PF0022-C	1042	0.9587	-1.99663e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0057-C	PF0025-C	951	0.9516	-1.89162e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0057-C	PF0028-C	914	0.9223	-1.82592e+03	5	926.020	6	0.00231	0.01928	0.00843
PH0057-C	PF0031-C	965	0.9171	-1.89559e+03	5	783.580	2	0.00091	0.01238	0.00264
