sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD	fract_vit_sites_IBD
PH0047-Cx	PF0008-C	990	0.9283	-2.44991e+03	5	400.634	10	0.00784	0.02796	0.01575
PH0047-Cx	PF0011-C	956	0.9153	-2.36266e+03	5	0.001	0	0.00000	0.00000	0.00000
PH0047-Cx	PF0020-C	1024	0.9209	-2.42755e+03	5	1340.236	4	0.00056	0.01240	0.00308
PH0047-Cx	PF0022-C	1003	0.9192	-2.47869e+03	5	605.489	4	0.00350	0.01552	0.00898
PH0047-Cx	PF0025-C	919	0.9402	-2.33085e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PF0028-C	930	0.9355	-2.28749e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PF0031-C	967	0.9266	-2.36935e+03	5	533.052	2	0.00070	0.01449	0.00353
PH0047-Cx	PF0032-C	724	0.9378	-1.78760e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PF0035-C	1048	0.9466	-2.49892e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PF0037-C	1036	0.9324	-2.49800e+03	4	0.001	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0008-C	1027	0.9611	-2.11623e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0011-C	971	0.9156	-2.06653e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0020-C	1065	0.9540	-2.11244e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0022-C	1046	0.9426	-2.16550e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0025-C	951	0.9506	-2.05826e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0028-C	937	0.9328	-1.98335e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0031-C	995	0.9387	-2.08005e+03	5	0.023	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0032-C	737	0.9417	-1.53660e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0035-C	1060	0.9519	-2.16689e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0037-C	1047	0.9351	-2.17347e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0008-C	1000	0.9600	-1.87474e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0011-C	962	0.9480	-1.82471e+03	2	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0020-C	1041	0.9606	-1.88001e+03	2	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0022-C	1030	0.9641	-1.91954e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0025-C	908	0.9482	-1.83649e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0028-C	933	0.9614	-1.75823e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0031-C	982	0.9562	-1.84808e+03	2	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0032-C	747	0.9665	-1.35798e+03	3	0.000	0	0.00000	0.00000	0.00000
