sample1	sample2	chr	start	end	different	Nsnp
PH0047-Cx	PF0008-C	1	92914	513960	1	3296
PH0047-Cx	PF0008-C	1	514549	516077	0	56
PH0047-Cx	PF0008-C	1	516118	530378	1	199
PH0047-Cx	PF0008-C	1	530405	531130	0	38
PH0047-Cx	PF0008-C	1	531416	535652	1	108
PH0047-Cx	PF0008-C	1	535827	548213	0	113
PH0047-Cx	PF0008-C	1	549385	575873	1	463
PH0047-Cx	PF0008-C	2	106099	862490	1	6316
PH0047-Cx	PF0008-C	3	70833	139903	1	727
PH0047-Cx	PF0008-C	3	140159	142239	0	64
PH0047-Cx	PF0008-C	3	142507	1003043	1	6775
PH0047-Cx	PF0011-C	1	92914	575873	1	4273
PH0047-Cx	PF0011-C	2	106099	862490	1	6316
PH0047-Cx	PF0011-C	3	70833	1003043	1	7566
PH0047-Cx	PF0020-C	1	92914	575873	1	4273
PH0047-Cx	PF0020-C	2	106099	862490	1	6316
PH0047-Cx	PF0020-C	3	70833	1003043	1	7566
PH0047-Cx	PF0022-C	1	92914	575873	1	4273
PH0047-Cx	PF0022-C	2	106099	862490	1	6316
PH0047-Cx	PF0022-C	3	70833	128649	1	663
PH0047-Cx	PF0022-C	3	135709	142239	0	128
PH0047-Cx	PF0022-C	3	142507	1003043	1	6775
PH0047-Cx	PF0025-C	1	92914	575873	1	4273
PH0047-Cx	PF0025-C	2	106099	862490	1	6316
PH0047-Cx	PF0025-C	3	70833	1003043	1	7566
PH0047-Cx	PF0028-C	1	92914	575873	1	4273
PH0047-Cx	PF0028-C	2	106099	862490	1	6316
PH0047-Cx	PF0028-C	3	70833	1003043	1	7566
PH0047-Cx	PF0031-C	1	92914	531563	1	3598
PH0047-Cx	PF0031-C	1	531652	533174	0	64
PH0047-Cx	PF0031-C	1	533956	575873	1	611
PH0047-Cx	PF0031-C	2	106099	862490	1	6316
PH0047-Cx	PF0031-C	3	70833	122105	1	627
PH0047-Cx	PF0031-C	3	122345	124598	0	33
PH0047-Cx	PF0031-C	3	128541	1003043	1	6906
PH0047-Cx	PF0032-C	1	92914	575873	1	4273
PH0047-Cx	PF0032-C	2	106099	862490	1	6316
PH0047-Cx	PF0032-C	3	70833	1003043	1	7566
PH0047-Cx	PF0035-C	1	92914	575873	1	4273
PH0047-Cx	PF0035-C	2	106099	862490	1	6316
PH0047-Cx	PF0035-C	3	70833	1003043	1	7566
PH0047-Cx	PF0037-C	1	92914	575873	1	4273
PH0047-Cx	PF0037-C	2	106099	862490	1	6316
PH0047-Cx	PF0037-C	3	70833	1003043	1	7566
PH0051-Cx	PF0008-C	1	92914	575873	1	4273
PH0051-Cx	PF0008-C	2	106099	862490	1	6316
PH0051-Cx	PF0008-C	3	70833	1003043	1	7566
PH0051-Cx	PF0011-C	1	92914	575873	1	4273
