sample1	sample2	chr	start	end	different	Nsnp
PH0047-Cx	PH0055-C	1	92914	575873	1	4273
PH0047-Cx	PH0055-C	2	106099	862490	1	6316
PH0047-Cx	PH0055-C	3	70833	1003043	1	7566
PH0047-Cx	PH0057-C	1	92914	575873	1	4273
PH0047-Cx	PH0057-C	2	106099	862490	1	6316
PH0047-Cx	PH0057-C	3	70833	1003043	1	7566
PH0047-Cx	PH0060-C	1	92914	575873	1	4273
PH0047-Cx	PH0060-C	2	106099	862490	1	6316
PH0047-Cx	PH0060-C	3	70833	1003043	1	7566
PH0047-Cx	PH0064-C	1	92914	575873	1	4273
PH0047-Cx	PH0064-C	2	106099	862490	1	6316
PH0047-Cx	PH0064-C	3	70833	1003043	1	7566
PH0047-Cx	PH0163-C	1	92914	575873	1	4273
PH0047-Cx	PH0163-C	2	106099	862490	1	6316
PH0047-Cx	PH0163-C	3	70833	1003043	1	7566
PH0047-Cx	PH0171-C	1	92914	575873	1	4273
PH0047-Cx	PH0171-C	2	106099	862490	1	6316
PH0047-Cx	PH0171-C	3	70833	1003043	1	7566
PH0055-C	PH0057-C	1	92914	575873	1	4273
PH0055-C	PH0057-C	2	106099	862490	1	6316
PH0055-C	PH0057-C	3	70833	1003043	1	7566
PH0055-C	PH0060-C	1	92914	575873	1	4273
PH0055-C	PH0060-C	2	106099	862490	1	6316
PH0055-C	PH0060-C	3	70833	1003043	1	7566
PH0055-C	PH0064-C	1	92914	575873	1	4273
PH0055-C	PH0064-C	2	106099	862490	1	6316
PH0055-C	PH0064-C	3	70833	1003043	1	7566
PH0055-C	PH0163-C	1	92914	575873	1	4273
PH0055-C	PH0163-C	2	106099	862490	1	6316
PH0055-C	PH0163-C	3	70833	1003043	1	7566
PH0055-C	PH0171-C	1	92914	203346	1	1089
PH0055-C	PH0171-C	1	204260	309963	0	804
PH0055-C	PH0171-C	1	311701	575873	1	2380
PH0055-C	PH0171-C	2	106099	862490	1	6316
PH0055-C	PH0171-C	3	70833	594855	1	4486
PH0055-C	PH0171-C	3	595551	638492	0	248
PH0055-C	PH0171-C	3	639045	1003043	1	2832
PH0057-C	PH0060-C	1	92914	575873	1	4273
PH0057-C	PH0060-C	2	106099	862490	1	6316
PH0057-C	PH0060-C	3	70833	1003043	1	7566
PH0057-C	PH0064-C	1	92914	575873	1	4273
PH0057-C	PH0064-C	2	106099	862490	1	6316
PH0057-C	PH0064-C	3	70833	1003043	1	7566
PH0057-C	PH0163-C	1	92914	575873	1	4273
PH0057-C	PH0163-C	2	106099	862490	1	6316
PH0057-C	PH0163-C	3	70833	139903	1	727
PH0057-C	PH0163-C	3	140159	153332	0	181
PH0057-C	PH0163-C	3	153996	208125	1	547
PH0057-C	PH0163-C	3	208963	338675	0	1130
PH0057-C	PH0163-C	3	339638	1003043	1	4981
PH0057-C	PH0171-C	1	92914	174105	1	801
PH0057-C	PH0171-C	1	174777	188998	0	158
PH0057-C	PH0171-C	1	189598	487895	1	1962
PH0057-C	PH0171-C	1	488448	500179	0	178
PH0057-C	PH0171-C	1	500232	575873	1	1174
PH0057-C	PH0171-C	2	106099	862490	1	6316
PH0057-C	PH0171-C	3	70833	1003043	1	7566
PH0060-C	PH0064-C	1	92914	512572	1	3247
PH0060-C	PH0064-C	1	512627	520958	0	168
PH0060-C	PH0064-C	1	521471	575873	1	858
PH0060-C	PH0064-C	2	106099	840733	1	5808
PH0060-C	PH0064-C	2	840830	845549	0	110
PH0060-C	PH0064-C	2	845624	862490	1	398
PH0060-C	PH0064-C	3	70833	1003043	1	7566
PH0060-C	PH0163-C	1	92914	575873	1	4273
PH0060-C	PH0163-C	2	106099	862490	1	6316
PH0060-C	PH0163-C	3	70833	1003043	1	7566
PH0060-C	PH0171-C	1	92914	575873	1	4273
PH0060-C	PH0171-C	2	106099	846509	1	5940
PH0060-C	PH0171-C	2	846604	849937	0	83
PH0060-C	PH0171-C	2	850056	862490	1	293
PH0060-C	PH0171-C	3	70833	1003043	1	7566
PH0064-C	PH0163-C	1	92914	575873	1	4273
PH0064-C	PH0163-C	2	106099	862490	1	6316
PH0064-C	PH0163-C	3	70833	1003043	1	7566
PH0064-C	PH0171-C	1	92914	522585	1	3422
PH0064-C	PH0171-C	1	522794	531563	0	176
PH0064-C	PH0171-C	1	531652	575873	1	675
PH0064-C	PH0171-C	2	106099	862490	1	6316
PH0064-C	PH0171-C	3	70833	1003043	1	7566
PH0163-C	PH0171-C	1	92914	575873	1	4273
PH0163-C	PH0171-C	2	106099	862490	1	6316
PH0163-C	PH0171-C	3	70833	1003043	1	7566
